sentence,txtCheat,cheat,cheating,betray,betrayal,lie,lying,affair,unfaithful,infidelity,deception,dishonesty,adultery,trust,secrets,manipulation,hidden,suspicion,guilt
"The truth behind the mysterious murder of Loula, a sexy young Greek woman, is gradually revealed by a documentary film crew investigating the case. What they discover is a tale of ambition, passion and betrayal.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A young nurse ultimately wants to become a nun. She arrives in a village and falls in love with a man. But the man's father makes all the arrangements for his marriage without telling him.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The story is of a young man, Stevens, who returns to his native village after a five year exile caused by a violent quarrel with his father. The story revolves around the women in Stevens life and the affects of his presence.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Charley Pearl, wealthy heir and gadabout, is slated to marry Adele, the daughter of a Hollywood tycoon. But, during a wild bachelor party in Las Vegas, Charley strikes up a flirtation with nightclub crooner Vicki Anderson that soon leads to her bedroom. When the couple are discovered by Vicki's beau, infamous gangster Bugsy Siegel, he makes a surprising pronouncement -- they'd better marry, or Charley is a dead man.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A schoolboy has a crush on his pretty class-mate Keiko on the inland island of Awaji. He figures her routine of taking baths at the public one is a good way to get to know her, but he first has to overcome his sensitivity to hot water, the presence of other school-mates and of course his shyness. He has never mustered the courage to speak to her in class after all.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Shekar has moved to Mumbai from his home in Punjab and has fallen in love with Nisha. However, he is called back to his home to hear that his disabled sister is to marry a young man named Harpreet, but on the condition that Shekar marry Harpreet's sister. Unable to refuse, Shekar must lead a double life until matters come to a head many years later.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A young man waits in a park for the love of his life, but instead draws the attention of a random passerby.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A pampered girl discovers that she's in real trouble, when Raouf steals her jewelry on the night of their wedding. Not knowing how to face her uncle and his partner amid this confusion, she stumbles upon Hamdi, and she asks him to act as her husband in front of them.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two young gay men meet in Provincetown via Grindr.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Focusing on the trauma of losing your significant other and the guilt carried when attempting to move on in a new relationship, Andrew feels pressured to choose between his deserved future with Olive, his current romance or dwell on the death of Julia, his last picture perfect relationship.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A drama about a life of two sisters - Nadya  and Lida, who both are dreaming about theater and actress career.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"One week in one of the most exotic and picturesque cities of the world. The day of changes comes when Amaya meets a charming Englishman, Paul and it dramatically changes Amaya's perception of her cultural and personal identity.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hanjiro is a struggling painter that shares a tiny apartment in the back streets of Ginza with his jazz pianist friend who works at a bar. When he and his sweet heart, Hisako decide to get married, Hanjiro is faced with a tough decision. Needing to buy a ticket back home to tell his mother the good news, he compromises his creative principles for love and sells his portrait of Hisako. Hisako heads to the station to see him off, but gets hit by a car...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When Summer’s mother Vivian moves in with her and her young daughter Chloe, her orderly existence is upended. Upon arrival, Vivian sets up an heirloom, miniature Christmas village resembling their town, and tells Chloe it grants Christmas wishes. As Chloe begins setting up the figurines, real-life events seem to mimic the scenes she creates. With a little help from the magic of the Christmas village, the family will be brought closer together and just maybe, Summer will learn to open her heart to love again.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alison, a young dancer, suffers an accident and is unable to dance for a while. When she returns, she has to fight an envious rival trying to steal her position for the dance company of the university and her great love.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In L'innamorata, Almirante is at the zenith of her career, starring as Mara Flores, a vampish society lady, who casts her eyes on Carlo, an electrical engineer and director of a powerplant. Although attracted to Mara, he rejects her, and she immediately turns around and sinks her fangs in his best friend and future brother-in-law, Franco. Not possessing Carlo's self-composure, Franco takes up with Mara, and it leads him to his ruin and death. Now, Carlo does fall under Mara's spell, and as their passion intensifies, it becomes clear that there will be no happy end to this story.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Kate is part of a writing duo with her boyfriend, and thinks her author days are over when they split, until her publisher requests a sequel.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A romantic love story set in a good old XIX century in the best traditions of Russian vaudevilles.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A film based on the files of the Lonely Hearts Club where lonely men and women hope to find company and eventually, life-time partners.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A high school girl, Yu Shan, has long harbored a crush on her classmate, Pin Lun. She finds satisfaction in stealing his small belongings, as this gives her a sense of possession. She knows Pin Lun's weekly schedule, including when he practices piano. Once, Yu Shan sneaked into the music classroom ahead of time,  and reveled in the pleasure of accompanying Pin Lun from a close distance as he played the piano.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Join the mile high club with the world's sexiest stewardess, as she flies and experiences sexual situations all over the world.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Three interconnected stories explore the complicated relationships of young, attractive Argentinian adults searching for true love",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Sheriff shoots the robber of the Bank and recovers the money bag only to find it empty. Ranger Tim Barlow arrives and takes over the investigation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Fanny Burkhard is a woman in her prime: attractive, fit and successful at work. Together with Roland Beck, she runs a management consultancy whose specialty is threading hostile company takeovers: large corporations that want to swallow small companies find cunning helpers in the duo. But the collaboration with her ex-boyfriend Roland, who once left her for a younger woman, is noticeably troubling Fanny - she has been suffering from insomnia for three years. She urgently needs distance and a change of scenery.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It narrates the misadventures of a bad boss (Arturo Gonzálvez) who falls in love with a poor girl (Chela Bon), harming a good young man (Lautaro Murúa)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ahmed and Mona who love each other since they were children cannot resume their relationship as their families disapprove of it and the lovers part ways. Years later, they meet again, Ahmed with his two kids, and Mona leading a solitary life. Will they ever be reunited in marriage?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Avery and Peter try to keep the romance alive while renovating the old house they bought and juggling work, but everything takes on a new perspective when they get some news they’ve been hoping for.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A comedy about the adventures of several families during their sea vacations.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Adreena Angela performs as two characters on the opposite ends of a telephone line, heating each other up with next level dirty talk and naughty thoughts. Pleasure Seekers plays homage to sexual satisfaction in form of masturbation and reminds us of the importance of self love. This is a short story about the fantasies we find ourselves masturbating to from time to time.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Andy Lau stars in The Prince of Temple Street, a classic triad story of honor and righteousness. Andy Lau is ""The Twelfth Young Master"", so called because he was raised by twelve foster parents from the triad underworld. A lifelong resident of Temple Street, the Young Master is intimately familiar with the triad life, having been around triads his whole life. But things change when he meets a beautiful missionary named Teresa (Joey Wang). She desires to bring hope and faith to Temple Street, and the Young Master is drawn towards her.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In a train repair shop, a passion involves a woman and, years later, her daughter.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"To save her father, a girl who always puts others before herself promises to live her life in a lavish castle with a strange beast.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A rich, young businessman travels to Australia with the intention of buying a 1967 Citroën DS. Once he arrives, things do not go to plan, and he must drive the DS into the outback alongside a blind young woman in order to track down its seller.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Veronica is a white-bread beauty searching for a good man in Los Angeles. While slam dancing at a Halloween rave, she meets Abel, a sensitive poet. Then she meets Zed, a supersexy tattooed drummer with incredible biceps. Who will she choose? Does she go for true love or cheap sex? She can't decide so she chooses both. But after managing to nurture a picture-perfect threesome, along comes Ernest, a rich movie director with deep baby blues that sweep Veronica off her feet. What's a girl to do now?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In the final round of a tarung derajat competition, Dimas had to choose between winning for his love or losing for his dreams.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Giordano, an angel assigned to an orphan in Krakow, is two years into the job when his celestial overseers, citing budget cuts, initiate ""Phase Two"" without telling him. Some changes are good - they send him a nanny, the enterprising Irena; some are bad - his phone number to Heaven no longer works nor do his special powers; and some dismay him - he grows a penis. His closest friend tells him to get a woman, and Irena advises him on hygiene. He visits a therapist, Roma, and falls in love with her. She tells him its transference. Meanwhile, Giordano's celestial friends conspire to rid Roma of her boyfriend, clearing the way for Giordano to be his naive and engaging self.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"One day Kyoko watches television and sees a man turning himself in to the police after murdering a family. Something within Kyoko connects with the man, as she recognizes a similar soul. Despite the worries of the killer's lawyer, she approaches the killer and the two start corresponding.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A young Jehovah's Witness believes the ultimate punishment will be inflicted upon him for typical teenage activity. His life is rather grim until infatuation with a friend's older sister opens his eyes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"One year ago, Rui (Rio Yamashita) lost her eyesight after a hit & run accident. She's still traumatized by the accident and has yet to undergo rehab treatment. She then meets a young man named Wataru (Kento Hayashi) who is fascinated by paragliding. Rui slowly comes out her shell and finds a way to rise up again with the help of Wataru. Unfortunately, reality can sometimes be cruel. Can Rui and Wataru face each other again after facing this cruel truth?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A modern romantic comedy about 3 Malibu best friends, roommates and bandmates discovering their dreams and discovering love with a crazy plot to make some cash on the way.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anri (Anri Sugihara) becomes successful as a gravure idol and she catches the attention of men across the world, but she realizes that she forgot her wish of ""I want to be an idol like the blue sea."" She wants to take back what she lost, but...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A street performer fights a pathological man for his girlfriend's love.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"An injury ended Zhang Zhiqiangs dream of becoming a professional basketball player, so he became a physical education teacher. To impress the new young math teacher, he volunteers to teach the problem class of the school in math.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"In romantic Paris, two Parisians of Indian origin are in love namely Shyam or Sam and Roopa. Mystery and intrigue surround this romance, as Roopa is abducted and held by criminal mastermind Jack and his minions, who will trade her for a hefty ransom. Roopa has a look-alike in the shape and form of Suzy, who is sent in place of Roopa to ensure that the money is received, while the real Roopa is still being held captive. Sam must use all the resources available to in order to set Roopa free, but he will have a difficult time to differentiate between Suzy and Roopa.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Two friends meet after 15 years. They have a complicated and intimate past that becomes impossible to deny in spite of intentions to the contrary.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When New York architect Matt Saunders dumps his new girlfriend Jenny Johnson - a smart, sexy and reluctant superhero known as G-Girl - she uses her powers to make his life a living hell!",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A young businessman Harun crashes a young woman and because of this accident young woman becomes blind.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Part one of Blackton’s “The Life of Napoleon"". Napoleon meets Josephine, falls in love with her, marries and then divorces her.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The leader of an all-girl teenage greaser gang attempts to get the attention of her bookworm crush, but her usual tactics don’t seem to be working.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Amy, a lazy stoner with zero motivation and no ambitions, unknowingly buys a time traveling marijuana vape. She discovers its powers and uses it to try to get laid. However, trouble ensues...",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dhund is the story of a young woman Rani Ranjit Singh (Zeenat Aman), whose invalid husband Thakur Ranjit Singh (Danny Denzongpa) is murdered. The finger of suspicion points at the young widow and her lover Suresh Saxena (Sanjay Khan), but the killer is someone else.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Munir, a singer and telegraph employee, tries to realize his dreams as an artist and falls in love with dancer Nadia.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"After the death of his partner, Jaime discovers that his Polaroids can transport him to special moments with her.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nachiket is single and peer pressure to be in a relationship drives him to do something risky. But, does it land him in trouble or does it change his life for good?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Don Juan leaves Venice and gets back to Seville, his home city. When he arrives there, he learns that his father is dead and has left all his properties to him, on codition that he marries Doña Inés. Don Juan makes up a former marriage, but when he meets her he becomes fascinated by her beauty.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The tragic struggle of an undocumented Latino family in Los Angeles after they have sent their eldest son to war.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A country girl (Simone Berriau) finds work as a chorus girl in Paris, gets embroiled with a bad egg, and then finds true love with a good-looking milkman.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thornton Wilder's tale of a matchmaker who desires the man she's supposed to be pairing with another woman.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Singer (Ahmed) loves the horses, and he accidentally drives him to a stable in which he meets a friend he has not seen for years while he is (Adel). Bassima) to agree with Ahmed on acting that he loves her, will acting become reality?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mei has been in love with Yuya all her life. They've grown up together. But when they reach their second year of middle school, Yuya suddenly professes his love for her older sister, Haruna.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prithvirajan falls in love with princess Samyuktha, but her father Jayachandran insults him by installing his statue at the palace hall entrance for the bridegroom ceremony.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Second part of the Nine film series,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A German soldier home on leave falls in love with a girl, then returns to World War II.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Nikki Blue is a dancer at a strip club hidden along a back road in rural New England. Further down the road, Alice, a burnt-out, neurotic college grad with no particular ambitions, spends her days working at a roadside fossil and rock shop. When Nikki and Alice meet, a friendship begins that could change their lives forever. Shot entirely in Western MA, Black Light is a sexy romantic comedy about finding love in the middle of nowhere.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"The story takes place after the TV drama series Ossan's Love (2018). It's been a year since Haruta and Maki pledged their undying love. Haruta has now come back and receives a warm welcome from familiar faces, his boss Musashi Kurosawa and other colleagues. Justice Yamada, a recruit who has been recently assigned to this branch, welcomes him too. One day, completely out of the blue, the headquarter-based project team ""Genius 7"" shows up at the Second Sales Branch. Project leader Jin Mamiana orders the Sales team to support them in their big project. Maki, who had been transferred and works now at the head office, is among the project team members with Mamiana. Haruta and Maki grow apart, and Haruta teams up with Justice. Then Kurosawa gets involved in an accident and loses his memory, but the loss of his memory is selective and he has forgotten only Haruta. However, when Kurosawa sees Haruta, he falls in love again.. Hilarious and heartwarming, the final battle of Ossan's Love begins.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A tough and rowdy look-alike takes the place of a rich young man, who has family problems and enemies.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A man regrets about his past relationship while dealing with urban loneliness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anand and Nandita are newly married but she is unable to forget her first love, Sekar. She decides to divorce him and try to find Sekar.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A wealthy and jealous merchant tries to lure a young girl away from her boyfriend by offering to pay to stage small singing concerts for her.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A college freshman pretends to be straight in order to get closer to his crush who is homophobe.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"This movie adaptation of the popular theatre musical ""Gerimis Mengundang"" tells the story of a young man who is a pilot, played by Malaysian newcomer Kamal Adli. A chance meeting with the daughter of the Indonesia embassy officer who is played by Olivia Jensen Lubis, leads to a romance sparking between the two. However, with their different societal standings, will the two star-crossed lovers end up together?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A sea captain makes a bet in a cafe with a friend that he will marry the first woman who walks in.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The sequel to 1956's ""Liane, Jungle Goddess"" finds the title character still a jungle goddess, but captured by slave traders.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When English Mark surprises his American bride Holly with her dream honeymoon to Portugal she cant believe her luck. Mark goes to great trouble to organise everything for her. They arrive in Portugal to discover that the country is hosting a major international soccer tournament and that the English national team is playing! Whats more, the England team, and their raucous fans, seem to follow them everywhere. Soccer-loving Mark claims innocence - a complete coincidence - after all, what kind of man would lie to his new wife just to watch England play in a tournament?",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"This is a story full of feelings emotion, and generational conflicts... Two people meet again in the seaside town where they fell in love as adolescents 20 years earlier while spending their summer vacation there with their families. It could be a chance to rediscover each other and to lend continuity to a relationship that was interrupted, in his case at least, traumatically. But the disquieting presence of her 15 year old daughter insinuates itself between them. He transfers his feelings to the young girl and relives, in a kind of addendum the same feelings that were cut short by the abrupt separation. A three-way relationship is formed, colored by tensions, generational conflicts, and subtile psychological games. Each of the three will emerge from the rapport in their own way. Each will emerge, no doubt, changed.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Yoon Do Gun is a highly talented chef and is the culinary creative genius behind Laura Dining, a top, critically acclaimed restaurant. But although Yoon Do Gun’s hard work has won Laura Dining to the top of the South Korean restaurant scene, the eponymous restaurant owner and Yoon Do Gun are beginning to pull in very different directions. While she wants to ensure that the menu is always packed with crowd-pleasing dishes, Yoon Do Gun wants to challenge diners with creative and newer preparations.  The falling-out intensifies when the owner hires Choi Jung Woo to work in the same kitchen. The latter is a talented chef in his own right, but his real skills are in copying other people’s hit recipes, rather than developing his own. Although the two chefs begin on the wrong foot, adopting an adversarial stance to one another, after getting to know one another, the beginnings of an unlikely love story start to form. Could rivalry turn to romance as the heat intensifies in the kitchen?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Jazz in Love tells the story of Jazz, a young man from Davao whose dream wedding is within reach: his boyfriend of 11 months has proposed. Because no law allows him to get married in the Philippines, he must fly to Germany, his boyfriend's home country, and tie the knot there. One of the things that stand in his way is his inability to speak Deutsch, and to address that he must temporarily relocate to Manila for language lessons. Meanwhile, his parents remain completely unaware of the radical changes that his life is about to undergo.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When love blossoms between a young Italian woman and an African student, her family’s disapproval — and a secret — threatens to tear the lovers apart.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Two thieves, Hassan and Sebaey, plan to rob the safe in the Kaitby Fortress in Alexandria, but the police capture Sebaey, who asks Hassan to take care of Nesma, his daughter; if he does this, Sebaey will not say that Hasan conspired in the robbery attempt. Hassan meets Nesma's teacher, Miss Reem, and the two become romantically involved. Miss Reem does not know of Hasan's history.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"It has been six months since Laida Magtalas won the heart of her prince charming Miggy Montenegro and it has been nothing but good. Laida got promoted from executive assistant to account executive, while Miggy has been doing well as he is being mentored by his older brother Art Montenegro. Laida had gotten an offer from her aunt in Canada where she is being given a good recommendation in order for her to work there.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A man switches plane tickets with another man who dies in that plane in a crash. The man falls in love with the deceased one's wife.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thief Gaston Monescu and pickpocket Lily are partners in crime and love. Working for perfume company executive Mariette Colet, the two crooks decide to combine their criminal talents to rob their employer. Under the alias of Monsieur Laval, Gaston uses his position as Mariette's personal secretary to become closer to her. However, he takes things too far when he actually falls in love with Mariette, and has to choose between her and Lily.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A World War II veteran wants to return to advertising on his own terms, but finds it difficult to be successful and maintain his integrity.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Young married couple Rob and Laura move to the peaceful, friendly town of Breastford and right away are made to feel at home by the welcoming members of the Breastford Womens Association. They soon realize that something is amiss, and they discover the reason: Doc Brady, the town's mayor, has invented a device that, at the push of a button, turns women into insatiable, sex-crazed robots.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17 year old Saki lives in a run-down hack with her mom who survives by pushing a food cart from dawn to dusk. Saki has dropped out of school, and when she's not helping her mother selling noodles in the streets, she's playing flesh-games with boyfriend Sotoo. In her spare time, the girl also entertains a truck driver named Ataru. She believes her promiscuity is a trait inherited from her mom. Determined to improve her lot in life (she doesn't want to grow up like her mother), Saki decides to stop seeing the two guys. The sizzling Japanese Tatsumi Kumashiro’s erotic drama 'Shoujo Shofu: Kemonomichi' (aka 'Whore Girl - the Animal Trail' distributed internationally as 'Path of the Beast'), offers a venue for sex kitten Ayako Yoshimura to reveal choice areas of her nubile frame.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Satyapratapan and Kuruvila are chronic bachelors. SP's sister Sandhya lives as a paying guest in their neighbourhood. Problems begin when Mukesh and Harishree Ashokan join Mammootty and Rambha joins Sandhya.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Julie's son is dying of cancer and her marriage falling apart.  She goes to Poland in search of a man who can heal using his hands.  Julie finds not only a magical cure for her son, but also comes across a love so pure it begins to heal the aching in her heart.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damon, a talented stage director, is having the worst day of his life: nothing goes well, one of his dancers is missing, and his boyfriend, Jhongwei, insists that he has something important to say to him that cannot wait any longer. When Damon finally gives Jhongwei to opportunity to talk, the latter tells him that he no longer wishes to be his boyfriend.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A romance blooms between a noblewoman and a common man amid a peasant revolt against the brutal Russian army,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teenage love story of a Catholic girl from Goa and a Hindu boy.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A lesbian bachelorette weekend goes awry when one of the brides admits she's never had an orgasm.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The beautiful Anny works in a cigar-shop. Wholesaler Willmann fancy Anny and hire her as his housemaid. Soon the two have an intimate relationship. But Anny finds someone new. At a carnival. Her next step is to get Willman's son to get to his father's safe. Together they steal the family's fortune and have a great time doing away with all of it. Anny sink deeper and deeper in misery.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Crystal remarried to husband with son. She's just a little bit different. She's trying to get along with her son Sewoong, he doesn't easily open his mind. One day, Se-woong and Dad's friend witnessed the cheating scene. After that day, whenever she sees a crystal that is lonely without her husband, it's starting to look like a woman...",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"When Guptan, a college lecturer, gets killed, the police suspect Gabriel to be the murderer. A girl takes help from her brothers, who are famous lawyers, in proving his innocence.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dinner time in a remote home of a prairie family turns nightmarish when a band of blood spattered outlaws break through the front door in search of food, horses, and women. Nothing is as it seems in this constantly twisting genre bender.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Emilia Martin, a cartographer of school maps, has plans for a cozy Christmas at home until her boss has a last-minute project for her, designing a novelty treasure map of the North Pole. Emilia decides to seek out the expertise of North Pole explorer Drew Campbell, who reluctantly agrees to help her. As the two work closely, they discover more than either of them ever expected.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The recently widowed Mary Stuart returns to Scotland to reclaim her throne but is opposed by her half-brother and her own Scottish lords.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A quarterback stands against gangsters out to control the college sports scene.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bujji runs away from his home in his childhood because of a dispute with his girlfriend Chitti. He ends up in Chennai for 12 years, and the rest of the story is about how they meet now to make their love successful.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"There are moments in our lives when our whole being is put to the test.  Our ideals, our ambitions, are forgotten and we crave for escape.  Escape into our world of dreams.  And such is Anuradha's (Leela Naidu) story.  The daughter of a rich man, she has everything she desired, yet she goes on to marry Dr. Nirmal Chowdhary (Balraj Sahni), an idealistic doctor, who wants to serve the poor in the villages of India.  Later when she is shown what she is missing by living with this poor doctor, she has to make the choice.  The choice of her life or her love.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Presenting a woman, a female statue, a breathing tree, and a fish out of water, an unorthodox love story unfolds with the growth of limbs and expressive gestures. Accompanied by desire discovered and lost, erotic femininity disfigured in a domestic space, and physical forms fragmented, two women steep in their reticent intimacy.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pavithran, Abhilash, and Kiran who take desperate measures to prevent a wedding from happening. The story takes you through their ideas and plans to stop the marriage and the problems they get into when these plans collide and intervene.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Suleyman works at a gas station. One of his customers Kenan, who is a businessman, asks him to be his bodyguard. Suleyman is in love with Oya. Kenan wants to prevent their marriage and makes a plot with his brothel girl Cicek. Cicek has an affair with Suleyman and Kenan takes their photos. As Oya sees the photos, she leaves her job. Kenan gets her to work for his relative Leman who is a tailor. Suleyman quits his work and searches for Oya though without success. Oya gets to know about Leman and Kenan's evil plans and she gets seized on her attempt to escape. Cicek informs Suleyman about Oya's whereabouts. Everybody gets organized to save her and they succeed. Cicek shoots Leman and Kenan at the expense of her own life.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"A funny comedy based on the famous theater play ""Servant of Two Masters"" by Carlo Goldoni.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
